Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_usd,sector
09/01/2020,BYJUs,"E Tech","E learning",Bangalore,"Tiger Global Management",Equity,200000000,Education
13/01/2020,Shuttl,Transportation,"App based shuttle service",Gurugram,"Susquehanna Growth Equity","Series C",8048390,"Transportation and Logistics"
09/01/2020,Mamaearth,"E commerce","Retailer of baby and toddler products",Bangalore,"Sequoia Capital India","Series B",18358900,E-Commerce
02/01/2020,wealthbucket,FinTech,"Online Investment",Delhi,"Vinod Khatumal","Pre Series A",3000000,Finance
02/01/2020,Fashor,"Fashion and Apparel","Embroiled Clothes For Women",Mumbai,"Sprout Venture Partners","Seed Funding",1800000,Fashion
13/01/2020,Pando,Logistics,"Open market, freight management platform",Chennai,"Chiratae Ventures","Series A",9000000,"Transportation and Logistics"
10/01/2020,Zomato,Hospitality,"Online Food Delivery Platform",Gurugram,"Ant Financial",Equity,150000000,Hospitality
12/12/2019,Ecozen,Technology,Agritech,Pune,"Sathguru Catalyzer Advisors","Series A",6000000,Technology
06/12/2019,CarDekho,"E Commerce",Automobile,Gurugram,"Ping An Global Voyager Fund","Series D",70000000,E-Commerce
03/12/2019,DhruvaSpace,Aerospace,"Satellite Communication",Bangalore,"Mumbai Angels, Ravikanth Reddy","Seed Funding",50000000,Other
13/12/2019,Rivigo,Technology,"Logistics Services and Solutions",Gurugram,"SAIF Partners, Spring Canter Investment Ltd.","Series F",20000000,Technology
17/12/2019,Healthians,"B2B focused foodtech startup","Food Solutions For Corporate",Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux","Series C",12000000,"Food and Beverages"
16/12/2019,Licious,"E Commerce","Online Meat And Seafood Ordering Startup",Bangalore,"Vertex Growth Fund","Series E",30000000,E-Commerce
16/12/2019,InCred,Finance,"Non Banking Financial Company",Mumbai,,Debt,5900000,Finance
14/12/2019,Trell,Video,"Experience Discovery Platform",Bangalore,"Ruizheng Investment","Seed Funding",2000000,Other
11/12/2019,ReinGames,Gaming,"Real money based gaming startup",Noida,"Manipal Education and Medical Group (MEMG)","Seed Funding",50000000,"Online Gaming"
20/12/2019,Lenskart,"E Commerce","Online Eyewear Shopping Portal",Faridabad,"SoftBank Vision Fund","Series G",231000000,E-Commerce
13/11/2019,Freshworks,Software,"Business and customer engagement tools","San Francisco","Sequoia, CapitalG, Accel","Series H",150000000,Technology
14/11/2019,Misters,"Health and wellness","Men's Health and Wellness brand",Gurugram,"Sauce.vc, Rainforest Ventures","Series B",486000,Healthcare
13/11/2019,SunstoneEduversityPvt.Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg","Seed Funding",1500000,Education
18/11/2019,Healthians,"Health and Wellness","Healthcare services",Gurugram,"DG Daiwa Ventures, DG Incubation","Series B",12000000,Healthcare
15/11/2019,Ninjacart,"B2B Marketing",Agritech,Bangalore,"Trifecta Capital Advisors",Debt,26000000,"Advertisement and Marketing"
20/11/2019,AyeFinance,FinTech,"Financial Services To MSMEs",Gurugram,FinTech,Debt,17411300,Finance
12/11/2019,SuperGaming,"Video Games","Social gaming platform",Pune,"Dream Incubator","Seed Funding",1300000,"Online Gaming"
20/11/2019,Clumio,SaaS,"Recovery software","San Jose,","Altimeter Capital, Sutter Hill Ventures","Series C",135000000,Technology
11/11/2019,eBikeGo,"Last Mile Transportation","Electric bike rental",Amritsar,"Startup Buddy","Seed Funding",300000,"Transportation and Logistics"
19/11/2019,DigitalMallAsia,"E Commerce","Virtual e commerce platform",Delhi,"Amour Infrastructure","Seed Funding",220000000,E-Commerce
18/11/2019,Medikabazaar,Healthcare,"B2B platform for medical supplies",Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing","Series B",15800000,Healthcare
15/11/2019,VogoAutomotive,"Last Mile Transportation","Scooter sharing app",Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital","Series B",283000000,"Transportation and Logistics"
19/11/2019,FurtadosSchoolofMusic,Education,"Music Education",Tulangan,"IAN Fund and DSG Consumer Partners",,200000000,Education
25/11/2019,Paytm,FinTech,"Mobile Wallet",Noida,"Vijay Shekhar Sharma","Funding Round",1000000000,Finance
04/10/2019,Dunzo,"Customer Service","Delivery Service",Bangalore,Lightbox,"Series D",45000000,Services
02/10/2019,Udaan,B2B,"Business development",Bangalore,"Altimeter Capital, DST Global","Series D",585000000,Other
05/09/2019,FPLTechnologies,FinTech,"Financial Services",Pune,"Matrix Partners India, Sequoia India","Maiden Round",4500000,Finance
04/09/2019,Cashflo,FinTech,"Invoice discounting platform and SME lending marketplace",Mumbai,"SAIF Partners","Series A",3300000,Finance
04/09/2019,DigitalF5,"Advertising, Marketing","Digital marketing firm",Mumbai,"TIW Private Equity",Equity,6000000,"Advertisement and Marketing"
04/09/2019,3rdFlix,SaaS,"Education Technology",Hyderabad,"Exfinity Venture Partners","Pre Series A",5000000,Technology
04/09/2019,75F,IoT,"Building automation system",Burnsville,"Breakthrough Energy Ventures","Series A",18000000,Other
04/09/2019,MyelinFoundry,"Information Technology","Deep technology",Bangalore,"Endiya Partners","Seed Funding",1000000,Technology
04/09/2019,AtombergTechnology,"Consumer Technology","Consumer Electronics, Home Appliances",Mumbai,"A91 Partners","Series A",10000000,Technology
04/09/2019,GOQii,"Health and Wellness","Wearable Fitness Bands","Menlo Park","Bennett Coleman and Company Ltd (BCCL)","Series C",450000000,Healthcare
03/09/2019,VyaparApp,Accounting,"Mobile based Accounting Software",Bangalore,"India Quotient, Axilor Ventures","Series A",5000000,Finance
01/08/2019,CarDekho,"E Commerce",Automotive,Gurugram,"SC GG India Mobility Holdings LLC","Series C",20000000,E-Commerce
01/08/2019,Progcap,Finance,"Supply Chain Management",Delhi,"Sequoia India","Series A",5000000,Finance
01/08/2019,MyPetrolPump,Retail,"Fuel Delivery",Bangalore,,"Seed Funding",1600000,E-Commerce
01/08/2019,AlteriaCapital,Finance,"VC Funds",Mumbai,"Azim Premji, Binny Bansal",Venture,140000000,Finance
01/08/2019,PineLabs,"Information Technology","Last mile retail transaction technology",Noida,"Pine Labs Pte Ltd","Corporate Round",38080000,Technology
12/08/2019,Meesho,"E Commerce","Social Commerce",Bangalore,Naspers,"Series D",125000000,E-Commerce
13/08/2019,Cars24,"E Commerce","Car Retail",Gurugram,"MS Dhoni","Series D",11000000,E-Commerce
13/08/2019,Uniphore,"Customer Service Platform","Conversational AI","Palo Alto","March Capital Partners","Series C",51000000,Technology
23/08/2019,Zendrive,Automotive,"Road Safety Analytics","San Francisco","XL Innovate","Series B",37000000,Automotive
23/08/2019,Lo!Foods,"Consumer Goods","Low carb food for Diabetics",Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)","Seed Funding",500000,Other
23/08/2019,Tala,FinTech,"Digital Lending Platform","Santa Monica","RPS Ventures","Series D",110000000,Finance
22/08/2019,INDwealth,FinTech,"Wealth Management",Gurugram,"Tiger Global Management",Venture,15000000,Finance
21/08/2019,HungerBox,"Food and Beverage","B2B Foodtech",Bangalore,"One97 Communications Ltd.","Series C",6590000,"Food and Beverages"
23/08/2019,AdmitKard,EdTech,"University Admissions",Noida,"Growth DNA","Seed Funding",1000000,Education
19/08/2019,Grofers,"E Commerce","Grocery Delivery",Gurugram,"Softbank Vision Fund","Series F",70000000,E-Commerce
27/08/2019,RapidoBikeTaxi,Transportation,"Bike Taxi",Bangalore,"Westbridge Capital","Series B",3900000000,"Transportation and Logistics"
02/07/2019,RenewBuy,Finance,"Auto Insurance",Gurugram,"Lok Capital, IIFL Wealth","Series B",19000000,Finance
02/07/2019,Atlan,"Information Technology","Big Data",Singapore,"WaterBridge Ventures","Pre Series A",2500000,Technology
01/07/2019,WizCounsel,Compliance,Consulting,Delhi,"Kapil Dev","Seed Funding",145000,Other
03/07/2019,OlaCabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury","Series J",1000000,"Transportation and Logistics"
01/07/2019,Uniphore,"Artificial Intelligence","Speech Recognition",Taramani,"March Capital Partners","Series C",38080000,Technology
04/07/2019,DaalchiniTechnologies,"Food and Beverage","Digital Vending Machine",Delhi,"Artha Venture","Seed Funding",500000,"Food and Beverages"
10/07/2019,BYJUs,EdTech,Education,Bangalore,"Qatar Investment Authority",Equity,150000000,Education
11/07/2019,Moglix,"E Commerce","Industrial Tools and Equipments",Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management","Series D",60000000,E-Commerce
10/07/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,"Series B",16000000,Technology
10/07/2019,IndusOS,Tech,"Smartphone Operating System",Andheri,Ventureast,"Series B",5750000,Technology
10/07/2019,HealthAssure,"Health Care","Primary care medical network",Mumbai,"Blume Ventures","Series A",2500000,Healthcare
09/07/2019,HouseofMsasaba,"Luxury Label","Clothes and Apparel",Mumbai,"Binny Bansal","Series A",1000000,Other
08/07/2019,BoardInfinity,EdTech,"Full stack career platform",Chembur,"Multiple Angel Investors","Seed Funding",319605,Education
05/06/2019,NoBroker,"E Commerce","Real Estate",Bangalore,"General Atlantic","Series C",51000000,E-Commerce
04/06/2019,Bira91,"Food and Beverage",Brewery,Delhi,"Anicut Capital",Debt,10000000,"Food and Beverages"
03/06/2019,FabHotels,"E Commerce",Hospitality,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",,4889980,E-Commerce
03/06/2019,AvailFinance,Finance,FinTech,Bangalore,"Matrix Partners","Series A",9000000,Finance
04/06/2019,BharatPe,Finance,FinTech,Delhi,"Insight Partners","Series B",75000000,Finance
04/06/2019,Recykal,"Waste Management Service",Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh","Pre Series A",26000000,Sustainability
03/06/2019,AgaraLabs,"Deep Tech","Artificial Intelligence",Bangalore,"Blume Ventures and RTP Global","Pre Series A",2500000,Technology
06/06/2019,Sistema.bio,Agriculture,"Hybrid Reactor Biodigestor",Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739030,Agriculture
06/06/2019,ChakrInnovation,Energy,"Renewable Energy",Delhi,"IAN Fund","Series A",26000000,Sustainability
06/06/2019,Pratilipi,"Digital Media","E Books",Bangalore,"Qiming Venture Partners","Series B",15109500,Other
10/06/2019,BoloApp,"Digital Media","Video Platform",Bangalore,"Nexus Venture Partners","Seed Funding",430200,Other
10/06/2019,OkCredit,FinTech,"Financial Services",Haryana,"Tiger Global Management","Series A",15500000,Finance
06/06/2019,Biz2Credit,FinTech,"Online Lending Platform","New York","WestBridge Capital","Series B",52000000,Finance
08/06/2019,VogoAutomotivePvt.Ltd.,Transportation,"Dockless Scooter Rental Company",Karnataka,"Alteria Capital",Debt,3584000,"Transportation and Logistics"
04/06/2019,Leegality,Services,"Digital Documentation",Mumbai/Bangalore,"Mumbai Angels","Series A",3400000,Services
06/05/2019,SaahasZeroWaste,"Waste Management Service",Optimization,Bangalore,"C4D Partners",Venture,868600,Sustainability
01/05/2019,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel Wellington Sequoia Capital B Capital LightStreet Sands Capital and International Finance Corporation","Series D",150000000,"Transportation and Logistics"
02/05/2019,Zenoti,Saas,"Beauty and Wellness Industry",Hyderabad,"Tiger Global Management","Series C",50000000,Technology
28/05/2019,AtherEnergy,Automobile,"Electric Vehicle",Bangalore,"Sachin Bansal","Series C",51000000,Automotive
28/05/2019,FreshVnF,Agtech,"Fresh Agriculture Produces",Mumbai,"Equanimity Ventures","Seed Funding",140000000,Technology
30/05/2019,GlowRoad,"E commerce",Retail,Bangalore,"Korea Investment Partners, Vertex Ventures","Series B",11500000,E-Commerce
31/05/2019,Bira91,"Food and Beverage",Brewery,Delhi,"Sixth Sense Ventures","Series B",5600000,"Food and Beverages"
16/04/2019,Kuvera,Finance,"Wealth Management",Bangalore,"Eight Roads","Series A",45000000,Finance
12/04/2019,Medlife,"E commerce","Online Medicine",Bangalore,"Prasid Uno Family Trust",Equity,17000000,E-Commerce
10/04/2019,Kabadiwala,"E commerce","Waste Management",Bhopal,"Unilever Beehive Capital Advisor ABCOM Investments Parekh Marine Transport",Equity,430665,E-Commerce
13/04/2019,Tripoto,"Social Media",Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV","Series B",3591380,Technology
12/04/2019,Azah,"Health and Wellness","Organic wellness",Gurugram,"Unnamed angel investors","Seed Funding",200000,Healthcare
11/04/2019,Setu,Fintech,Banking,Bangalore,"Lightspeed India Partners","Seed Funding",3500000,Finance
10/04/2019,Toppr,Edtech,"E learning",Mumbai,Milestone,Debt,6320820,Education
10/04/2019,Craftsvilla,"E commerce","Fashion and Apparel",Mumbai,"Supera Pte Ltd","Inhouse Funding",2443500,E-Commerce
10/04/2019,Unacademy,Edtech,"E learning",Bangalore,"Kalyan Krishnamurthy","Seed Funding",307000,Education
11/04/2019,CleverTap,SaaS,"Mobile analytics and marketing",Mumbai,"Sequoia India, Tiger Global Management, Accel Partners","Series B",26000000,Technology
